ofns_desc,law_cat_cd,is_felony
PETIT LARCENY,MISDEMEANOR,0
VEHICLE AND TRAFFIC LAWS,MISDEMEANOR,0
CRIMINAL MISCHIEF & RELATED OF,MISDEMEANOR,0
SEX CRIMES,MISDEMEANOR,0
ASSAULT 3 & RELATED OFFENSES,MISDEMEANOR,0
GRAND LARCENY,FELONY,1
OFF. AGNST PUB ORD SENSBLTY &,MISDEMEANOR,0
HARRASSMENT 2,VIOLATION,0
FELONY ASSAULT,FELONY,1
DANGEROUS DRUGS,MISDEMEANOR,0
CRIMINAL MISCHIEF & RELATED OF,FELONY,1
ROBBERY,FELONY,1
MISCELLANEOUS PENAL LAW,FELONY,1
DANGEROUS WEAPONS,FELONY,1
BURGLARY,FELONY,1
THEFT-FRAUD,FELONY,1
MURDER & NON-NEGL. MANSLAUGHTER,FELONY,1
OTHER OFFENSES RELATED TO THEFT,MISDEMEANOR,0
DANGEROUS DRUGS,FELONY,1
UNAUTHORIZED USE OF A VEHICLE,MISDEMEANOR,0
GRAND LARCENY OF MOTOR VEHICLE,FELONY,1
FORGERY,FELONY,1
OFFENSES INVOLVING FRAUD,MISDEMEANOR,0
OFFENSES AGAINST PUBLIC ADMINI,MISDEMEANOR,0
INTOXICATED & IMPAIRED DRIVING,MISDEMEANOR,0
CRIMINAL TRESPASS,MISDEMEANOR,0
MISCELLANEOUS PENAL LAW,VIOLATION,0
FRAUDS,MISDEMEANOR,0
OTHER STATE LAWS,FELONY,1
SEX CRIMES,FELONY,1
POSSESSION OF STOLEN PROPERTY,MISDEMEANOR,0
CANNABIS RELATED OFFENSES,FELONY,1
DANGEROUS WEAPONS,MISDEMEANOR,0
OFFENSES AGAINST THE PERSON,MISDEMEANOR,0
OTHER STATE LAWS (NON PENAL LAW),MISDEMEANOR,0
RAPE,FELONY,1
ARSON,FELONY,1
POSSESSION OF STOLEN PROPERTY,FELONY,1
ADMINISTRATIVE CODE,VIOLATION,0
BURGLAR'S TOOLS,MISDEMEANOR,0
FRAUDULENT ACCOSTING,MISDEMEANOR,0
ADMINISTRATIVE CODE,MISDEMEANOR,0
PROSTITUTION & RELATED OFFENSES,MISDEMEANOR,0
OFFENSES AGAINST PUBLIC SAFETY,MISDEMEANOR,0
ANTICIPATORY OFFENSES,MISDEMEANOR,0
ALCOHOLIC BEVERAGE CONTROL LAW,MISDEMEANOR,0
PETIT LARCENY OF MOTOR VEHICLE,MISDEMEANOR,0
CHILD ABANDONMENT/NON SUPPORT 1,FELONY,1
OTHER STATE LAWS,VIOLATION,0
