complaint_date,year,quarter,month,day
2025-12-09,2025,4,12,9
2025-12-31,2025,4,12,31
2018-12-14,2018,4,12,14
2025-12-30,2025,4,12,30
2025-12-22,2025,4,12,22
2025-12-08,2025,4,12,8
2025-12-16,2025,4,12,16
2025-11-19,2025,4,11,19
2025-12-23,2025,4,12,23
2025-11-29,2025,4,11,29
2025-09-14,2025,3,9,14
2025-04-25,2025,2,4,25
2025-12-18,2025,4,12,18
2025-12-28,2025,4,12,28
2024-09-11,2024,3,9,11
2025-12-29,2025,4,12,29
2025-08-26,2025,3,8,26
2025-10-02,2025,4,10,2
2025-12-24,2025,4,12,24
2025-11-13,2025,4,11,13
2025-12-17,2025,4,12,17
2025-12-25,2025,4,12,25
2025-12-02,2025,4,12,2
2024-09-09,2024,3,9,9
2025-12-27,2025,4,12,27
2025-03-18,2025,1,3,18
2025-12-21,2025,4,12,21
2025-11-24,2025,4,11,24
2025-12-20,2025,4,12,20
2025-12-26,2025,4,12,26
2025-11-27,2025,4,11,27
2025-11-07,2025,4,11,7
2025-05-27,2025,2,5,27
2025-08-03,2025,3,8,3
2025-11-30,2025,4,11,30
2025-03-03,2025,1,3,3
2025-12-13,2025,4,12,13
2025-12-19,2025,4,12,19
2015-06-01,2015,2,6,1
2025-12-10,2025,4,12,10
2025-12-01,2025,4,12,1
2025-06-01,2025,2,6,1
2025-11-26,2025,4,11,26
2025-11-18,2025,4,11,18
2025-12-06,2025,4,12,6
2025-11-12,2025,4,11,12
2025-03-27,2025,1,3,27
2025-12-11,2025,4,12,11
2025-11-03,2025,4,11,3
2025-11-28,2025,4,11,28
2025-09-11,2025,3,9,11
2024-12-20,2024,4,12,20
2025-09-09,2025,3,9,9
2025-07-19,2025,3,7,19
2025-06-25,2025,2,6,25
2025-09-29,2025,3,9,29
2025-11-20,2025,4,11,20
2025-10-04,2025,4,10,4
2025-05-24,2025,2,5,24
2025-12-07,2025,4,12,7
2025-11-21,2025,4,11,21
2025-08-31,2025,3,8,31
2025-08-19,2025,3,8,19
2025-12-12,2025,4,12,12
2025-10-16,2025,4,10,16
2025-10-31,2025,4,10,31
2020-12-31,2020,4,12,31
2025-11-25,2025,4,11,25
2025-03-29,2025,1,3,29
2025-12-15,2025,4,12,15
2025-11-01,2025,4,11,1
2025-09-16,2025,3,9,16
2025-10-29,2025,4,10,29
2020-07-16,2020,3,7,16
2025-09-10,2025,3,9,10
2025-09-20,2025,3,9,20
2025-09-01,2025,3,9,1
2023-11-01,2023,4,11,1
2024-11-27,2024,4,11,27
2025-10-06,2025,4,10,6
2025-07-22,2025,3,7,22
2022-11-14,2022,4,11,14
2025-11-09,2025,4,11,9
2023-11-28,2023,4,11,28
