boro_nm,addr_pct_cd,latitude,longitude
QUEENS,109,40.761012,-73.819819
QUEENS,115,40.75550492,-73.86815009
QUEENS,111,40.752927,-73.791846
BROOKLYN,81,40.6894642952604,-73.9240290899499
BROOKLYN,75,40.676377,-73.898024
QUEENS,113,40.701245,-73.755744
BRONX,44,40.834952,-73.921752
MANHATTAN,23,40.793277,-73.948707
MANHATTAN,5,40.722667,-73.995988
STATEN ISLAND,122,40.589051,-74.101789
MANHATTAN,17,40.749888,-73.978246
MANHATTAN,1,40.710038,-74.01146
QUEENS,114,40.766954,-73.899062
STATEN ISLAND,123,40.510234,-74.24314
QUEENS,103,40.707029,-73.790274
BROOKLYN,67,40.664697,-73.925466
QUEENS,103,40.70123765,-73.79464101
BRONX,41,40.82018895,-73.89067524
MANHATTAN,13,40.742237,-73.991191
BROOKLYN,67,40.637626,-73.945249
BRONX,50,40.88321,-73.895917
STATEN ISLAND,122,40.588825,-74.086299
MANHATTAN,28,40.81025,-73.949261
BRONX,41,40.810548,-73.884004
BROOKLYN,77,40.670363,-73.926798
BRONX,47,40.887642,-73.852104
BROOKLYN,61,40.601883,-73.932644
BRONX,49,40.866672,-73.865364
QUEENS,110,40.744646,-73.861748
BRONX,52,40.862376,-73.89651
QUEENS,104,40.719145,-73.890899
MANHATTAN,1,40.706589,-74.015575
MANHATTAN,33,40.833953,-73.946566
BRONX,42,40.826188,-73.909738
BROOKLYN,75,40.676046,-73.872073
STATEN ISLAND,121,40.624547,-74.136684
MANHATTAN,7,40.716774,-73.985764
MANHATTAN,25,40.802742,-73.937572
QUEENS,108,40.736367,-73.901868
QUEENS,108,40.746705,-73.943472
STATEN ISLAND,120,40.630548,-74.076643
QUEENS,116,40.68011759,-73.75323687
MANHATTAN,20,40.778794,-73.98205472
BROOKLYN,79,40.689622,-73.960149
MANHATTAN,25,40.795581,-73.932296
BRONX,41,40.822084,-73.890329
MANHATTAN,25,40.804042,-73.935569
BROOKLYN,62,40.604917,-73.997943
BRONX,47,40.885457,-73.844889
BRONX,42,40.824452,-73.912439
QUEENS,110,40.760025,-73.854677
STATEN ISLAND,123,40.553098,-74.213706
QUEENS,103,40.7072398161698,-73.7927267255908
BRONX,49,40.848035,-73.84971
BRONX,52,40.875247,-73.88513
BRONX,48,40.853083,-73.885003
BRONX,40,40.807841,-73.921957
BROOKLYN,68,40.639501,-74.028124
QUEENS,114,40.773778,-73.924709
MANHATTAN,18,40.763321,-73.973718
BRONX,47,40.871814,-73.864259
BROOKLYN,73,40.678511,-73.914932
BRONX,43,40.834571,-73.84534
QUEENS,105,40.737245,-73.708771
MANHATTAN,19,40.771078,-73.956712
MANHATTAN,19,40.78057,-73.948237
BROOKLYN,75,40.664417,-73.891023
BROOKLYN,60,40.57226,-73.999057
QUEENS,109,40.754234,-73.820038
QUEENS,104,40.700505,-73.900765
QUEENS,109,40.768719,-73.794826
BROOKLYN,63,40.618135,-73.899242
MANHATTAN,13,40.740819,-73.974239
MANHATTAN,32,40.812516,-73.942028
BRONX,44,40.82066,-73.926291
MANHATTAN,34,40.86159271,-73.92474206
QUEENS,107,40.735514,-73.795681
QUEENS,110,40.74585,-73.876683
BRONX,41,40.82393664,-73.8948712
BROOKLYN,67,40.65630659,-73.91886471
BROOKLYN,75,40.67285815,-73.87130201
MANHATTAN,10,40.753312,-74.000081
QUEENS,103,40.698701,-73.787264
BRONX,47,40.905803,-73.853032
BROOKLYN,94,40.72185,-73.956751
BRONX,43,40.81949779,-73.86061317
BROOKLYN,76,40.672697,-74.011725
QUEENS,112,40.721219,-73.843436
BROOKLYN,73,40.669837,-73.914692
STATEN ISLAND,122,40.5865724,-74.09204956
BROOKLYN,73,40.663054,-73.910972
BROOKLYN,75,40.663874,-73.900012
BRONX,52,40.8701594,-73.8909872
BRONX,46,40.848512,-73.902363
BRONX,45,40.841907,-73.842138
BROOKLYN,60,40.575651,-73.986752
BROOKLYN,61,40.584916,-73.931174
BRONX,49,40.846707,-73.864722
MANHATTAN,33,40.846442,-73.934929
BROOKLYN,94,40.737583,-73.956188
BROOKLYN,90,40.708478,-73.955713
QUEENS,115,40.76234,-73.884704
BROOKLYN,61,40.599998,-73.936002
STATEN ISLAND,120,40.620757,-74.074164
BROOKLYN,75,40.681595,-73.890216
BROOKLYN,94,40.727179,-73.938071
MANHATTAN,13,40.740244,-73.976784
BROOKLYN,72,40.640257,-74.020507
BROOKLYN,75,40.661098,-73.867674
BRONX,47,40.888647,-73.842505
STATEN ISLAND,120,40.628879,-74.07393
BROOKLYN,81,40.67903176,-73.92459115
QUEENS,110,40.737784,-73.873434
BRONX,47,40.883621,-73.85772
MANHATTAN,20,40.77784506,-73.98774178
BROOKLYN,67,40.648106,-73.945397
MANHATTAN,14,40.75613907,-73.98316894
