susp_age_group,susp_race,susp_sex
UNKNOWN,UNKNOWN,U
(null),(null),(null)
UNKNOWN,BLACK,F
18-24,UNKNOWN,M
25-44,WHITE HISPANIC,M
18-24,BLACK,F
45-64,BLACK,M
UNKNOWN,BLACK,M
18-24,WHITE,M
45-64,BLACK,F
25-44,WHITE,M
45-64,WHITE HISPANIC,M
45-64,WHITE HISPANIC,F
25-44,BLACK,M
18-24,WHITE HISPANIC,M
UNKNOWN,WHITE HISPANIC,M
UNKNOWN,UNKNOWN,M
45-64,UNKNOWN,M
UNKNOWN,WHITE,M
UNKNOWN,WHITE,F
25-44,BLACK HISPANIC,F
45-64,WHITE,M
25-44,BLACK HISPANIC,M
25-44,ASIAN / PACIFIC ISLANDER,M
18-24,BLACK,M
UNKNOWN,UNKNOWN,F
25-44,UNKNOWN,F
25-44,BLACK,F
<18,BLACK HISPANIC,F
65+,ASIAN / PACIFIC ISLANDER,M
25-44,WHITE HISPANIC,F
UNKNOWN,WHITE HISPANIC,F
25-44,BLACK,U
25-44,UNKNOWN,M
25-44,WHITE,F
<18,WHITE HISPANIC,F
25-44,WHITE HISPANIC,U
<18,BLACK,F
UNKNOWN,ASIAN / PACIFIC ISLANDER,F
18-24,BLACK HISPANIC,F
18-24,WHITE HISPANIC,F
25-44,ASIAN / PACIFIC ISLANDER,F
45-64,BLACK HISPANIC,M
65+,BLACK,M
<18,ASIAN / PACIFIC ISLANDER,M
UNKNOWN,BLACK HISPANIC,M
65+,WHITE,F
45-64,ASIAN / PACIFIC ISLANDER,M
65+,AMERICAN INDIAN/ALASKAN NATIVE,M
65+,WHITE,M
45-64,WHITE,F
65+,BLACK,F
25-44,WHITE,U
65+,BLACK HISPANIC,M
65+,WHITE HISPANIC,M
65+,BLACK HISPANIC,F
18-24,BLACK HISPANIC,M
UNKNOWN,WHITE,U
18-24,UNKNOWN,U
UNKNOWN,ASIAN / PACIFIC ISLANDER,M
<18,BLACK HISPANIC,M
45-64,ASIAN / PACIFIC ISLANDER,F
25-44,ASIAN / PACIFIC ISLANDER,U
UNKNOWN,WHITE HISPANIC,U
<18,UNKNOWN,F
18-24,WHITE HISPANIC,U
18-24,ASIAN / PACIFIC ISLANDER,M
UNKNOWN,BLACK,U
<18,BLACK,M
25-44,BLACK HISPANIC,U
65+,ASIAN / PACIFIC ISLANDER,F
18-24,UNKNOWN,F
UNKNOWN,BLACK HISPANIC,F
45-64,UNKNOWN,F
18-24,WHITE,F
18-24,ASIAN / PACIFIC ISLANDER,F
45-64,BLACK,U
65+,WHITE HISPANIC,F
18-24,BLACK HISPANIC,U
UNKNOWN,ASIAN / PACIFIC ISLANDER,U
25-44,AMERICAN INDIAN/ALASKAN NATIVE,M
<18,WHITE,M
25-44,UNKNOWN,U
<18,AMERICAN INDIAN/ALASKAN NATIVE,F
45-64,BLACK HISPANIC,F
<18,WHITE HISPANIC,M
65+,UNKNOWN,F
<18,UNKNOWN,M
18-24,AMERICAN INDIAN/ALASKAN NATIVE,M
65+,UNKNOWN,U
45-64,AMERICAN INDIAN/ALASKAN NATIVE,M
<18,WHITE,F
UNKNOWN,AMERICAN INDIAN/ALASKAN NATIVE,F
65+,WHITE,U
UNKNOWN,BLACK HISPANIC,U
65+,BLACK,U
45-64,WHITE,U
45-64,WHITE HISPANIC,U
<18,BLACK,U
18-24,WHITE,U
UNKNOWN,AMERICAN INDIAN/ALASKAN NATIVE,U
45-64,AMERICAN INDIAN/ALASKAN NATIVE,F
<18,ASIAN / PACIFIC ISLANDER,U
UNKNOWN,AMERICAN INDIAN/ALASKAN NATIVE,M
