cmplnt_num,cmplnt_fr_dt,cmplnt_fr_tm,cmplnt_to_dt,cmplnt_to_tm,addr_pct_cd,rpt_dt,ky_cd,ofns_desc,pd_cd,pd_desc,crm_atpt_cptd_cd,law_cat_cd,boro_nm,loc_of_occur_desc,prem_typ_desc,juris_desc,jurisdiction_code,parks_nm,hadevelopt,housing_psa,x_coord_cd,y_coord_cd,susp_age_group,susp_race,susp_sex,transit_district,latitude,longitude,lat_lon,patrol_boro,station_name,vic_age_group,vic_race,vic_sex,complaint_date,year,month,day,quarter,is_felony
318198702,2025-12-09,12:30:00,2025-12-09T00:00:00.000,12:35:00,109,2025-12-31T00:00:00.000,341,PETIT LARCENY,352.0,"LARCENY,PETIT FROM BUILDING,UNATTENDED, PACKAGE THEFT INSIDE",COMPLETED,MISDEMEANOR,QUEENS,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,(null),(null),(null),1034165,216582,UNKNOWN,UNKNOWN,U,,40.761012,-73.819819,"(40.761012, -73.819819)",PATROL BORO QUEENS NORTH,(null),65+,ASIAN / PACIFIC ISLANDER,M,2025-12-09,2025,12,9,4,0
318206365,2025-12-31,18:50:00,2025-12-31T00:00:00.000,19:20:00,115,2025-12-31T00:00:00.000,348,VEHICLE AND TRAFFIC LAWS,916.0,LEAVING SCENE-ACCIDENT-PERSONA,COMPLETED,MISDEMEANOR,QUEENS,(null),STREET,N.Y. POLICE DEPT,0,(null),(null),(null),1020779,214555,(null),(null),(null),,40.75550492,-73.86815009,"(40.75550492, -73.86815009)",PATROL BORO QUEENS NORTH,(null),UNKNOWN,UNKNOWN,E,2025-12-31,2025,12,31,4,0
318194672,2025-12-31,11:20:00,2025-12-31T00:00:00.000,11:25:00,111,2025-12-31T00:00:00.000,351,CRIMINAL MISCHIEF & RELATED OF,259.0,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",COMPLETED,MISDEMEANOR,QUEENS,INSIDE,FOOD SUPERMARKET,N.Y. POLICE DEPT,0,(null),(null),(null),1041921,213653,UNKNOWN,BLACK,F,,40.752927,-73.791846,"(40.752927, -73.791846)",PATROL BORO QUEENS NORTH,(null),45-64,WHITE,F,2025-12-31,2025,12,31,4,0
318202725,2018-12-14,23:59:00,2019-12-14T00:00:00.000,00:01:00,81,2025-12-31T00:00:00.000,233,SEX CRIMES,175.0,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,(null),(null),(null),1005319,190473,18-24,UNKNOWN,M,,40.6894642952604,-73.9240290899499,"(40.6894642952604, -73.9240290899499)",PATROL BORO BKLYN NORTH,(null),<18,BLACK,M,2018-12-14,2018,12,14,4,0
318179035,2025-12-31,02:15:00,2025-12-31T00:00:00.000,02:25:00,75,2025-12-31T00:00:00.000,344,ASSAULT 3 & RELATED OFFENSES,101.0,ASSAULT 3,COMPLETED,MISDEMEANOR,BROOKLYN,FRONT OF,HOMELESS SHELTER,N.Y. POLICE DEPT,0,(null),(null),(null),1012536,185712,25-44,WHITE HISPANIC,M,,40.676377,-73.898024,"(40.676377, -73.898024)",PATROL BORO BKLYN NORTH,(null),<18,WHITE HISPANIC,M,2025-12-31,2025,12,31,4,0
318184207,2025-12-31,05:30:00,2025-12-31T00:00:00.000,05:45:00,113,2025-12-31T00:00:00.000,351,CRIMINAL MISCHIEF & RELATED OF,259.0,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",COMPLETED,MISDEMEANOR,QUEENS,INSIDE,HOMELESS SHELTER,N.Y. POLICE DEPT,0,(null),(null),(null),1051976,194850,18-24,BLACK,F,,40.701245,-73.755744,"(40.701245, -73.755744)",PATROL BORO QUEENS SOUTH,(null),25-44,BLACK,F,2025-12-31,2025,12,31,4,0
318190097,2025-12-31,10:00:00,2025-12-31T00:00:00.000,10:18:00,44,2025-12-31T00:00:00.000,344,ASSAULT 3 & RELATED OFFENSES,113.0,"MENACING,UNCLASSIFIED",COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,(null),(null),(null),1005903,243479,45-64,BLACK,M,,40.834952,-73.921752,"(40.834952, -73.921752)",PATROL BORO BRONX,(null),25-44,BLACK,M,2025-12-31,2025,12,31,4,0
318179006,2025-12-31,03:45:00,2025-12-31T00:00:00.000,03:53:00,23,2025-12-31T00:00:00.000,344,ASSAULT 3 & RELATED OFFENSES,101.0,ASSAULT 3,COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,(null),(null),613,998453,228290,UNKNOWN,BLACK,M,,40.793277,-73.948707,"(40.793277, -73.948707)",PATROL BORO MAN NORTH,(null),25-44,BLACK,F,2025-12-31,2025,12,31,4,0
318190065,2025-12-30,19:00:00,2025-12-30T00:00:00.000,19:05:00,5,2025-12-31T00:00:00.000,109,GRAND LARCENY,405.0,"LARCENY,GRAND BY THEFT OF CREDIT CARD",COMPLETED,FELONY,MANHATTAN,INSIDE,RESTAURANT/DINER,N.Y. POLICE DEPT,0,(null),(null),(null),985362,202560,UNKNOWN,UNKNOWN,U,,40.722667,-73.995988,"(40.722667, -73.995988)",PATROL BORO MAN SOUTH,(null),25-44,ASIAN / PACIFIC ISLANDER,M,2025-12-30,2025,12,30,4,1
318178411,2025-12-22,00:25:00,2025-12-30T00:00:00.000,23:30:00,122,2025-12-31T00:00:00.000,361,OFF. AGNST PUB ORD SENSBLTY &,639.0,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,STATEN ISLAND,FRONT OF,RESTAURANT/DINER,N.Y. POLICE DEPT,0,(null),(null),(null),955979,153897,18-24,WHITE,M,,40.589051,-74.101789,"(40.589051, -74.101789)",PATROL BORO STATEN ISLAND,(null),18-24,WHITE HISPANIC,M,2025-12-22,2025,12,22,4,0
